date,predLabel,probUp,trueLabel,trueRet
2024-02-09,Up,0.82,Up,0.001594
2024-02-12,Up,0.82,Down,-0.001661
2024-02-13,Up,0.82,Up,0.024567
2024-02-14,Up,0.82,Down,-0.016807
2024-02-15,Up,0.82,Down,-0.000619
2024-02-16,Up,0.82,Down,-0.043532
2024-02-20,Up,0.82,Down,-0.028509
2024-02-21,Up,0.6758,Up,0.164009
2024-02-22,Up,0.82,Up,0.003552
2024-02-23,Up,0.82,Up,0.003489
2024-02-26,Up,0.82,Down,-0.004944
2024-02-27,Up,0.82,Down,-0.013189
2024-02-28,Up,0.82,Up,0.018658
2024-02-29,Up,0.82,Up,0.040032
2024-03-01,Up,0.82,Up,0.035951
2024-03-04,Up,0.82,Up,0.008529
2024-03-05,Up,0.82,Up,0.031827
2024-03-06,Up,0.82,Up,0.044746
2024-03-07,Up,0.82,Down,-0.055477
2024-03-08,Up,0.82,Down,-0.020039
2024-03-11,Up,0.82,Up,0.071572
2024-03-12,Up,0.82,Down,-0.011152
2024-03-13,Up,0.82,Down,-0.032392
2024-03-14,Up,0.82,Down,-0.001217
2024-03-15,Up,0.82,Up,0.007036
2024-03-18,Up,0.82,Up,0.010661
2024-03-19,Up,0.82,Up,0.010895
2024-03-20,Up,0.82,Up,0.011762
2024-03-21,Up,0.82,Up,0.031213
2024-03-22,Up,0.82,Up,0.007562
2024-03-25,Up,0.82,Down,-0.025694
2024-03-26,Up,0.82,Down,-0.024967
2024-03-27,Up,0.82,Up,0.001175
2024-03-28,Up,0.82,Up,0.000077
2024-04-01,Up,0.82,Down,-0.010082
2024-04-02,Up,0.82,Down,-0.005456
2024-04-03,Up,0.82,Down,-0.034385
2024-04-04,Up,0.7932,Up,0.024481
2024-04-05,Up,0.82,Down,-0.009942
2024-04-08,Up,0.8117,Down,-0.020417
2024-04-09,Up,0.82,Up,0.019741
2024-04-10,Up,0.82,Up,0.041096
2024-04-11,Up,0.82,Down,-0.026816
2024-04-12,Up,0.82,Down,-0.024777
2024-04-15,Up,0.82,Up,0.016442
2024-04-16,Up,0.82,Down,-0.038666
2024-04-17,Up,0.82,Up,0.007568
2024-04-18,Up,0.6179,Down,-0.100046
2024-04-19,Down,0.2,Up,0.043543
2024-04-22,Down,0.3901,Up,0.036533
2024-04-23,Up,0.7698,Down,-0.033316
2024-04-24,Up,0.8108,Up,0.037087
2024-04-25,Up,0.82,Up,0.061756
2024-04-26,Up,0.82,Up,0.000251
2024-04-29,Up,0.82,Down,-0.015440
2024-04-30,Up,0.82,Down,-0.038900
2024-05-01,Up,0.82,Up,0.033429
2024-05-02,Up,0.82,Up,0.034632
2024-05-03,Up,0.82,Up,0.037741
2024-05-06,Up,0.82,Down,-0.017213
2024-05-07,Up,0.82,Down,-0.001568
2024-05-08,Up,0.82,Down,-0.018416
2024-05-09,Up,0.82,Up,0.012744
2024-05-10,Up,0.82,Up,0.005797
2024-05-13,Up,0.82,Up,0.010586
2024-05-14,Up,0.82,Up,0.035838
2024-05-15,Up,0.82,Down,-0.002864
2024-05-16,Up,0.82,Down,-0.019924
2024-05-17,Up,0.82,Up,0.024881
2024-05-20,Up,0.82,Up,0.006394
2024-05-21,Up,0.82,Down,-0.004571
2024-05-22,Up,0.82,Up,0.093196
2024-05-23,Up,0.82,Up,0.025723
2024-05-24,Up,0.82,Up,0.069804
2024-05-28,Up,0.82,Up,0.008112
2024-05-29,Up,0.82,Down,-0.037666
2024-05-30,Up,0.82,Down,-0.007846
2024-05-31,Up,0.82,Up,0.048954
2024-06-03,Up,0.82,Up,0.012496
2024-06-04,Up,0.82,Up,0.051556
2024-06-05,Up,0.82,Down,-0.011777
2024-06-06,Up,0.82,Down,-0.000909
2024-06-07,Up,0.82,Up,0.007461
2024-06-10,Up,0.82,Down,-0.007226
2024-06-11,Up,0.82,Up,0.035481
2024-06-12,Up,0.82,Up,0.035224
2024-06-13,Up,0.82,Up,0.017514
2024-06-14,Up,0.82,Down,-0.006824
2024-06-17,Up,0.82,Up,0.035120
2024-06-18,Up,0.82,Down,-0.035403
2024-06-20,Up,0.82,Down,-0.032191
2024-06-21,Up,0.82,Down,-0.066840
2024-06-24,Down,0.4142,Up,0.067564
2024-06-25,Up,0.82,Up,0.002459
2024-06-26,Up,0.82,Down,-0.019066
2024-06-27,Up,0.82,Down,-0.003629
2024-06-28,Up,0.82,Up,0.006152
2024-07-01,Up,0.82,Down,-0.013113
2024-07-02,Up,0.82,Up,0.045732
2024-07-03,Up,0.82,Down,-0.019099
2024-07-05,Up,0.82,Up,0.018835
2024-07-08,Up,0.82,Up,0.024805
2024-07-09,Up,0.82,Up,0.026869
2024-07-10,Up,0.82,Down,-0.055667
2024-07-11,Up,0.82,Up,0.014443
2024-07-12,Up,0.82,Down,-0.006190
2024-07-15,Up,0.82,Down,-0.016194
2024-07-16,Up,0.82,Down,-0.066239
2024-07-17,Down,0.3834,Up,0.026273
2024-07-18,Up,0.8023,Down,-0.026096
2024-07-19,Neutral,0.4323,Up,0.047571
2024-07-22,Up,0.82,Down,-0.007690
2024-07-23,Up,0.82,Down,-0.068032
2024-07-24,Up,0.82,Down,-0.017243
2024-07-25,Up,0.681,Up,0.006947
2024-07-26,Up,0.7105,Down,-0.013002
2024-07-29,Down,0.3874,Down,-0.070436
2024-07-30,Down,0.2079,Up,0.128121
2024-07-31,Up,0.82,Down,-0.066741
2024-08-01,Up,0.82,Down,-0.017764
2024-08-02,Up,0.7795,Down,-0.063578
2024-08-05,Down,0.4065,Up,0.037830
2024-08-06,Up,0.82,Down,-0.051223
2024-08-07,Down,0.2,Up,0.061268
2024-08-08,Up,0.82,Down,-0.002096
2024-08-09,Up,0.82,Up,0.040764
